location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31570
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,96
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116934
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,337
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,214676
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4331
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,259824
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,6044
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,356217
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10167
Austria,2021-02-12,Oxford/AstraZeneca,10810
Austria,2021-02-12,Pfizer/BioNTech,458413
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14339
Austria,2021-02-19,Oxford/AstraZeneca,43659
Austria,2021-02-19,Pfizer/BioNTech,524592
Austria,2021-02-26,Johnson&Johnson,1
Austria,2021-02-26,Moderna,22816
Austria,2021-02-26,Oxford/AstraZeneca,101630
Austria,2021-02-26,Pfizer/BioNTech,586234
Austria,2021-03-05,Johnson&Johnson,4
Austria,2021-03-05,Moderna,32205
Austria,2021-03-05,Oxford/AstraZeneca,156781
Austria,2021-03-05,Pfizer/BioNTech,691300
Austria,2021-03-12,Johnson&Johnson,6
Austria,2021-03-12,Moderna,47641
Austria,2021-03-12,Oxford/AstraZeneca,235861
Austria,2021-03-12,Pfizer/BioNTech,855065
Austria,2021-03-19,Johnson&Johnson,33
Austria,2021-03-19,Moderna,79521
Austria,2021-03-19,Oxford/AstraZeneca,309410
Austria,2021-03-19,Pfizer/BioNTech,988471
Austria,2021-03-26,Johnson&Johnson,56
Austria,2021-03-26,Moderna,105054
Austria,2021-03-26,Oxford/AstraZeneca,385181
Austria,2021-03-26,Pfizer/BioNTech,1136244
Austria,2021-04-02,Johnson&Johnson,100
Austria,2021-04-02,Moderna,141654
Austria,2021-04-02,Oxford/AstraZeneca,423958
Austria,2021-04-02,Pfizer/BioNTech,1285631
Austria,2021-04-09,Johnson&Johnson,185
Austria,2021-04-09,Moderna,181450
Austria,2021-04-09,Oxford/AstraZeneca,514645
Austria,2021-04-09,Pfizer/BioNTech,1509046
Austria,2021-04-16,Johnson&Johnson,205
Austria,2021-04-16,Moderna,224282
Austria,2021-04-16,Oxford/AstraZeneca,610937
Austria,2021-04-16,Pfizer/BioNTech,1745329
Austria,2021-04-23,Johnson&Johnson,214
Austria,2021-04-23,Moderna,261980
Austria,2021-04-23,Oxford/AstraZeneca,660150
Austria,2021-04-23,Pfizer/BioNTech,2011422
Austria,2021-04-30,Johnson&Johnson,520
Austria,2021-04-30,Moderna,301306
Austria,2021-04-30,Oxford/AstraZeneca,702805
Austria,2021-04-30,Pfizer/BioNTech,2287624
Austria,2021-05-07,Johnson&Johnson,6735
Austria,2021-05-07,Moderna,351041
Austria,2021-05-07,Oxford/AstraZeneca,766132
Austria,2021-05-07,Pfizer/BioNTech,2621476
Austria,2021-05-14,Johnson&Johnson,13927
Austria,2021-05-14,Moderna,401586
Austria,2021-05-14,Oxford/AstraZeneca,830734
Austria,2021-05-14,Pfizer/BioNTech,2924630
Austria,2021-05-21,Johnson&Johnson,26404
Austria,2021-05-21,Moderna,470193
Austria,2021-05-21,Oxford/AstraZeneca,908771
Austria,2021-05-21,Pfizer/BioNTech,3306929
Austria,2021-05-28,Johnson&Johnson,38881
Austria,2021-05-28,Moderna,524324
Austria,2021-05-28,Oxford/AstraZeneca,991730
Austria,2021-05-28,Pfizer/BioNTech,3646471
Austria,2021-06-04,Johnson&Johnson,59884
Austria,2021-06-04,Moderna,580384
Austria,2021-06-04,Oxford/AstraZeneca,1060307
Austria,2021-06-04,Pfizer/BioNTech,4076827
Austria,2021-06-11,Johnson&Johnson,81964
Austria,2021-06-11,Moderna,644082
Austria,2021-06-11,Oxford/AstraZeneca,1155549
Austria,2021-06-11,Pfizer/BioNTech,4520358
Austria,2021-06-18,Johnson&Johnson,97259
Austria,2021-06-18,Moderna,694365
Austria,2021-06-18,Oxford/AstraZeneca,1207505
Austria,2021-06-18,Pfizer/BioNTech,4980674
Austria,2021-06-25,Johnson&Johnson,106113
Austria,2021-06-25,Moderna,750783
Austria,2021-06-25,Oxford/AstraZeneca,1281060
Austria,2021-06-25,Pfizer/BioNTech,5431339
Austria,2021-07-02,Johnson&Johnson,131826
Austria,2021-07-02,Moderna,811473
Austria,2021-07-02,Oxford/AstraZeneca,1388327
Austria,2021-07-02,Pfizer/BioNTech,5828038
Austria,2021-07-09,Johnson&Johnson,156211
Austria,2021-07-09,Moderna,862563
Austria,2021-07-09,Oxford/AstraZeneca,1452691
Austria,2021-07-09,Pfizer/BioNTech,6162467
Austria,2021-07-16,Johnson&Johnson,175835
Austria,2021-07-16,Moderna,907826
Austria,2021-07-16,Oxford/AstraZeneca,1501153
Austria,2021-07-16,Pfizer/BioNTech,6441223
Austria,2021-07-23,Johnson&Johnson,192741
Austria,2021-07-23,Moderna,954654
Austria,2021-07-23,Oxford/AstraZeneca,1528089
Austria,2021-07-23,Pfizer/BioNTech,6695472
Austria,2021-07-30,Johnson&Johnson,205142
Austria,2021-07-30,Moderna,973854
Austria,2021-07-30,Oxford/AstraZeneca,1552948
Austria,2021-07-30,Pfizer/BioNTech,6910525
Austria,2021-08-06,Johnson&Johnson,220673
Austria,2021-08-06,Moderna,991890
Austria,2021-08-06,Oxford/AstraZeneca,1567266
Austria,2021-08-06,Pfizer/BioNTech,7091205
Austria,2021-08-13,Johnson&Johnson,231259
Austria,2021-08-13,Moderna,1001550
